tweet,sentiment
이희경 사람 되게 젛은 듯 ,1.0
[ 썸연 매거진 ] 인교진 처럼 스윗 하 ᆫ 남자 와 결혼 하 면 행복 하 ᆫ 이유 5 ,1.0
Dailyexpress 247 | 인교진 처럼 ' 쏘스 윗 ' 한 남자 와 결혼 하 면 행복 하 ᆫ 이유 5 가지 ,1.0
" & lt ; 진심 이 닿 다 & gt ; 팀 의 진심 이 담기 ᆫ 고사 현장 !  
2019년 진심 이 닿 다 대박 터지 시 어요 ~  ",1.0
"[ 티저 ] 서로 에게 닿 은 이동욱 x 유인나 , 설렘터짐  ",1.0
" 진심 이 닿 다 티저 포스터 비하인 드 
여러분 개안 하고 가세 유 ..!  
.  ",1.0
" touch your heart [ 티저 ]  
서로 에게 닿 은 이동욱 x 유인나 , 설렘터짐  ",1.0
"[ 티저 ] 서로 에게 닿 은 이동욱 x 유인나 , 설렘터짐  ",1.0
" 인순이 , 60 대 나이 믿기 지 않 는 발랄 하 ᆷ … “ 코엑스 에서 관광객 모드 ” ",1.0
" 효진 이 노래 너무 잘 하 어요 
[ 오 ᆫ 애 ᆫ 오프 ] 인순이 아버지 생 라이브 , 효진 & amp ; 엠 케이 , 심 멎 ~  ",1.0
나 인순이 님 노래 코앞 에서 듣 었 는데 원래 막 노래 듣 고 울 는 거 이 해 안댓 는데 걍 눈물 막 주룩주 룩 나오 고 그렇 었었 는데 .. 진짜 대단 하 시 더라 ,1.0
" 효진 이 노래 너무 잘 하 어요 
[ 오 ᆫ 애 ᆫ 오프 ] 인순이 아버지 생 라이브 , 효진 & amp ; 엠 케이 , 심 멎 ~  ",1.0
" 효진 이 노래 너무 잘 하 어요 
[ 오 ᆫ 애 ᆫ 오프 ] 인순이 아버지 생 라이브 , 효진 & amp ; 엠 케이 , 심 멎 ~  ",1.0
" 뭐 이 야 ? 열 음 첫 순서 이 ᆫ 순 이 야 ?  
저 누나 오랜만 이 네 .. 사스 갓 ..  ",1.0
" 효진 이 노래 너무 잘 하 어요 
[ 오 ᆫ 애 ᆫ 오프 ] 인순이 아버지 생 라이브 , 효진 & amp ; 엠 케이 , 심 멎 ~  ",1.0
" 뭐 이 야 ? 열 음 첫 순서 이 ᆫ 순 이 야 ?  
저 누나 오랜만 이 네 .. 사스 갓 ..  ",1.0
" 효진 이 노래 너무 잘 하 어요 
[ 오 ᆫ 애 ᆫ 오프 ] 인순이 아버지 생 라이브 , 효진 & amp ; 엠 케이 , 심 멎 ~  ",1.0
망 함 일라이 진심 귀여움 ,1.0
아 안젤리카 가 망설임 없이 일라이 자 의 행복 을 자신 의 행복 보다 먼저 선택 하 ᆯ 거 이 라고 하 는 거 너무 개 쩔어 버리 고 ... ,1.0
앗 ㅅ 쉬 안젤리카 가 일라이 자 사랑 하 ᆫ다고 하 는 부분 에서 환장 하 어 버리 어요 ,1.0
" 언제 이 ᆫ가 하 었 던 낙서 
솔직히 최애캐 는 일라이 이 ᆫ데 정원사 가 너무 귀엽 어서 계속 그리 게 되 ᆫ다 .... 내 가 그리 ᆫ 거 ᆫ 안 귀엽 지만 말 이 야 ...  
아래 고양이 는 그냥 무시 하 시 어요 …  ",1.0
" 하악 
지 5 인격 에서 애 들 맞 거나 눕 으면 신음 소리 내 어 잔 어요 
그리고 풍선 에서 벗어나 ᆯ 려고 하 ᆯ 때 또 발버둥 소 리 들 리 고 
일라이 한 번 쯤 은 풍선 에 묶이 어 도 힘들 어서 신음 소리 나 거칠 ᆫ 숨소리 같 은 거 내 ᆫ 적 이 있 지 안 을까 
풍선 에 묶엿으니 끼 귀 옆 에서 들리 ᆯ 터 이 ᆫ데 ㅠ 와 씨 개지리네  ",1.0
" 헐 ! 헐 ! 헐 - ! 저 그 샤먼 어리 어 지 ᆫ 거 일라이 가 안고있는거욯 ㅎㅎㅎ  
새해 첫날 덕분 에 행볶해 지 었 어요 
냐하 님 츽 이 오 !  ",1.0
일라이 안대 벗 으면 순둥 하 ᆫ 느낌 이 라 더 조 아 ,1.0
망 함 일라이 진심 귀여움 ,1.0
아 안젤리카 가 망설임 없이 일라이 자 의 행복 을 자신 의 행복 보다 먼저 선택 하 ᆯ 거 이 라고 하 는 거 너무 개 쩔어 버리 고 ... ,1.0
앗 ㅅ 쉬 안젤리카 가 일라이 자 사랑 하 ᆫ다고 하 는 부분 에서 환장 하 어 버리 어요 ,1.0
" 언제 이 ᆫ가 하 었 던 낙서 
솔직히 최애캐 는 일라이 이 ᆫ데 정원사 가 너무 귀엽 어서 계속 그리 게 되 ᆫ다 .... 내 가 그리 ᆫ 거 ᆫ 안 귀엽 지만 말 이 야 ...  
아래 고양이 는 그냥 무시 하 시 어요 ...  ",1.0
" 하악 
지 5 인격 에서 애 들 맞 거나 눕 으면 신음 소리 내 어 잔 어요 
그리고 풍선 에서 벗어나 ᆯ 려고 하 ᆯ 때 또 발버둥 소 리 들 리 고 
일라이 한 번 쯤 은 풍선 에 묶이 어 도 힘들 어서 신음 소리 나 거칠 ᆫ 숨소리 같 은 거 내 ᆫ 적 이 있 지 안 을까 
풍선 에 묶엿으니 끼 귀 옆 에서 들리 ᆯ 터 이 ᆫ데 ㅠ 와 씨 개지리네  ",1.0
" 헐 ! 헐 ! 헐 - ! 저 그 샤먼 어리 어 지 ᆫ 거 일라이 가 안고있는거욯 ㅎㅎㅎ  
새해 첫날 덕분 에 행볶해 지 었 어요 
냐하 님 츽 이 오 !  ",1.0
일라이 안대 벗 으면 순둥 하 ᆫ 느낌 이 라 더 조 아 ,1.0
미안 하 다 사랑 하 ᆫ다 임수정 니트 같 은 거 입 고 는 대왕 성냥개비 들 고 춤 추 는 강 양 이 진짜 귀엽 어서 어떡하지 진짜 ㅎ ㅏ ....... ,1.0
미사 임수정 니트 같 은 거 입 꾸 너무 신 나 어 버리 ᆫ ,1.0
진짜 난리 나 었 다 증말 ... 나 한테 ᆫ 니 가 이영애 이 고 임수정 이 다 .... 아아 ... 이 게 무슨 일 이 냐 ㅠㅠㅠㅠㅠㅠㅠㅠ ,1.0
박범준 씨 와 임수정 씨 가 ㅋㅋㅋㅋ 만나 었 어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,1.0
박범준 씨 와 임수정 씨 가 ㅋㅋㅋㅋ 만나 었 어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,1.0
임수향 씨 너무 예쁘 어요 ㅠㅜ ,1.0
임수향 ???? 헐 이쁘 어 ㅠㅠㅇ ,1.0
임수향 완전 이쁘 어 ㅜㅜ ㅠ ,1.0
아 진짜 임수향 분 ㅠㅜㅡㅠㅜㅡㅠㅠㅠㅠㅠ ,1.0
임슬옹 목소리 넘 좋아 ,1.0
임슬옹 목소리 넘 좋아 ,1.0
귀엽 어 ~ 증말 ,1.0
올해 도 고등학생 이구 이 요 반타 ᆯ 커 하 었 습니다 ㅜ . ㅠ 소통 을 잘 못 하 어서 먼저 다가오 어 주 시 었 으면 좋 겠 어요 .. 03 부터 오 어 주 시 었 으면 좋 겠 어요 같이 자 캐 관계 찌 어요 ... 저 는 1 차 2 . 5 D 만 하 ᆸ니다 배우 좋아하 어요 특히 임시완 ... 알티 위주 로 맞 을 것 같 은 분 들 찾아갈게욧 ! ,1.0
